iter	RMSE	R2
526	134.2065129	0.9569338692
527	134.1894183	0.9569448396
528	134.15002	0.9569701181
529	134.0991016	0.957002777
530	134.0612224	0.9570270646
531	134.0537386	0.9570318623
532	133.9766205	0.9570812852
533	133.9331507	0.9571091314
534	133.8778971	0.957144513
535	133.8175661	0.9571831293
536	133.7288133	0.9572399059
537	133.6783889	0.9572721465
538	133.5196344	0.9573735721
539	133.4923613	0.9573909844
540	133.3550901	0.9574785697
541	133.3324482	0.9574930076
542	133.2593575	0.9575395981
543	133.1435544	0.9576133627
544	133.0850452	0.9576506076
545	133.0537334	0.9576705329
546	132.9436621	0.9577405397
547	132.8642558	0.9577910072
548	132.7347978	0.9578732208
549	132.666647	0.9579164685
550	132.5399744	0.9579967945
551	132.4769193	0.9580367505
552	132.3520978	0.9581157899
553	132.2782783	0.9581624988
554	132.2221432	0.9581980005
555	132.2145663	0.9582027912
556	132.079657	0.9582880459
557	131.9532429	0.9583678532
558	131.8933913	0.9584056118
559	131.8536419	0.9584306791
560	131.7570507	0.9584915611
561	131.7348646	0.9585055388
562	131.6215391	0.9585768997
563	131.5743973	0.9586065668
564	131.4281701	0.958698522
565	131.2734064	0.9587957342
566	131.0954885	0.9589073487
567	130.9838085	0.9589773324
568	130.9709112	0.9589854106
569	130.9149606	0.9590204458
570	130.5126383	0.9592719321
571	130.4206344	0.9593293337
572	130.3138258	0.9593959213
573	130.2897419	0.9594109284
574	130.2267088	0.9594501922
575	130.1698753	0.959485578
576	130.139704	0.9595043569
577	130.0784746	0.9595424535
578	130.0135287	0.9595828429
579	129.9839137	0.9596012536
580	129.9399359	0.9596285854
581	129.8073328	0.959710941
582	129.7643696	0.9597376061
583	129.6374107	0.9598163514
584	129.5976516	0.9598409959
585	129.4788248	0.9599146049
586	129.4426165	0.9599370213
587	129.4000811	0.9599633467
588	129.3730027	0.9599801012
589	129.3122918	0.9600176526
590	129.234256	0.9600658942
591	129.0977101	0.9601502365
592	129.0512103	0.9601789383
593	128.9882072	0.9602178103
594	128.9678604	0.9602303599
595	128.873056	0.9602888079
596	128.8448628	0.960306181
597	128.7648324	0.9603554763
598	128.7161575	0.960385443
599	128.6616864	0.9604189647
600	128.5702077	0.9604752291
601	128.4735359	0.960534644
602	128.387259	0.9605876324
603	128.1828937	0.9607130048
604	128.1443403	0.9607366338
605	128.0626647	0.9607866686
606	128.0323993	0.9608052013
607	127.9926974	0.9608295055
608	127.8419997	0.9609216894
609	127.7940617	0.9609509909
610	127.6763872	0.9610228715
611	127.5309176	0.961111639
612	127.4596561	0.9611550868
613	127.2456426	0.9612854238
614	127.2082516	0.961308173
615	127.1292409	0.9613562221
616	127.0262655	0.9614188001
617	127.0097597	0.9614288259
618	126.9047399	0.9614925858
619	126.820627	0.9615436145
620	126.7664426	0.9615764686
621	126.7479537	0.961587676
622	126.6794997	0.9616291562
623	126.5933646	0.9616813186
624	126.4725233	0.9617544388
625	126.4147673	0.9617893619
626	126.3361	0.9618369037
627	126.2596145	0.9618830986
628	125.8561624	0.9621263082
629	125.8429982	0.9621342307
630	125.8076414	0.9621555053
631	125.7229541	0.9622064381
632	125.6012389	0.9622795802
633	125.5549648	0.9623073691
634	125.4907443	0.9623459183
635	125.4261215	0.962384689
636	125.4120988	0.9623930994
637	125.3463686	0.9624325096
638	125.2857048	0.9624688639
639	125.2158614	0.9625106974
640	125.1361999	0.9625583831
641	124.9461436	0.962672029
642	124.9404769	0.9626754149
643	124.9008653	0.9626990782
644	124.81083	0.9627528358
645	124.778085	0.9627723774
646	124.6663145	0.9628390411
647	124.6338825	0.9628583735
648	124.5941226	0.9628820671
649	124.5283982	0.9629212168
650	124.4606348	0.9629615594
651	124.3634335	0.9630193894
652	124.3072756	0.96305278
653	124.1654815	0.9631370213
654	123.7167989	0.9634029551
655	123.6795122	0.9634250115
656	123.6191688	0.9634606928
657	123.5127226	0.9635235923
658	123.4337547	0.9635702199
659	123.3092872	0.9636436526
660	123.2855451	0.9636576514
661	123.2761592	0.9636631848
662	123.2436123	0.9636823692
663	123.2295289	0.963690669
664	123.1753711	0.963722577
665	123.1127799	0.9637594361
666	123.042882	0.963800576
667	123.0028274	0.9638241404
668	122.961303	0.9638485614
669	122.8818381	0.9638952727
670	122.8396458	0.9639200621
671	122.8233889	0.9639296112
672	122.7745916	0.9639582668
673	122.7086854	0.9639969513
674	122.5744832	0.9640756588
675	122.5664375	0.9640803747
676	122.5503083	0.9640898279
677	122.4839433	0.9641287104
678	122.4376539	0.9641558184
679	122.3990262	0.9641784317
680	122.3191014	0.9642251983
681	122.2396465	0.9642716598
682	122.1662055	0.9643145777
683	122.111502	0.964346529
684	122.0567667	0.9643784845
685	121.9870228	0.9644191815
686	121.9048702	0.9644670894
687	121.8300626	0.964510686
688	121.7084581	0.9645814978
689	121.6591491	0.9646101909
690	121.5744594	0.9646594451
691	121.5163934	0.9646931955
692	121.4593144	0.9647263565
693	121.393448	0.9647646033
694	121.3463766	0.9647919237
695	121.2018137	0.9648757623
696	121.1095688	0.964929207
697	121.0710087	0.9649515358
698	120.9993755	0.9649929973
699	120.965603	0.9650125364
700	120.9334208	0.9650311503
701	120.8863279	0.9650583796
702	120.8014859	0.9651074087
703	120.7954445	0.9651108987
704	120.7408527	0.9651424268
705	120.7181415	0.9651555389
706	120.6575082	0.9651905329
707	120.6094855	0.9652182363
